GeneID,unknown
ENSG00000066629,0
ENSG00000066651,527
ENSG00000066654,4623
ENSG00000066697,630
ENSG00000066735,68
ENSG00000066739,4578
ENSG00000066777,13017
ENSG00000066813,0
ENSG00000066827,2044
ENSG00000066855,551
ENSG00000066923,481
ENSG00000066926,21022
ENSG00000066933,1379
ENSG00000067048,4443
ENSG00000067057,4852
ENSG00000067064,8766
ENSG00000067066,26949
ENSG00000067082,72134
ENSG00000067113,255
ENSG00000067141,632
ENSG00000067167,20451
ENSG00000067177,21
ENSG00000067182,117943
ENSG00000067191,990
ENSG00000067208,1810
ENSG00000067221,1546
ENSG00000067225,146504
ENSG00000067248,5043
ENSG00000067334,6142
ENSG00000067365,3712
ENSG00000067369,2965
ENSG00000067445,46
ENSG00000067533,829
ENSG00000067560,170303
ENSG00000067596,11974
ENSG00000067606,5109
ENSG00000067646,651
ENSG00000067704,6650
ENSG00000067715,24
ENSG00000067798,158
ENSG00000067829,10204
ENSG00000067836,18508
ENSG00000067840,3353
ENSG00000067842,1
ENSG00000067900,20711
ENSG00000067955,7743
ENSG00000067992,5026
ENSG00000068001,2212
ENSG00000068024,16157
ENSG00000068028,16449
ENSG00000068078,6
ENSG00000068079,9465
ENSG00000068097,1872
ENSG00000068120,11629
ENSG00000068137,163
ENSG00000068305,16077
ENSG00000068308,21523
ENSG00000068323,40786
ENSG00000068354,7469
ENSG00000068366,21407
ENSG00000068383,5289
ENSG00000068394,4937
ENSG00000068400,13465
ENSG00000068438,3382
ENSG00000068489,1491
ENSG00000068615,10
ENSG00000068650,17862
ENSG00000068654,2279
ENSG00000068697,29416
ENSG00000068724,16143
ENSG00000068745,7771
ENSG00000068781,0
ENSG00000068784,2806
ENSG00000068796,4071
ENSG00000068831,66694
ENSG00000068878,14209
ENSG00000068885,620
ENSG00000068903,15238
ENSG00000068912,5283
ENSG00000068971,16073
ENSG00000068976,2931
ENSG00000068985,0
ENSG00000069011,9
ENSG00000069018,0
ENSG00000069020,1275
ENSG00000069122,0
ENSG00000069188,244
ENSG00000069206,0
ENSG00000069248,4316
ENSG00000069275,11554
ENSG00000069329,20378
ENSG00000069345,13256
ENSG00000069399,26767
ENSG00000069424,61094
ENSG00000069431,0
ENSG00000069482,1
ENSG00000069493,7475
ENSG00000069509,652
ENSG00000069535,84
